id,name,type,production,year,sex,birth,ethnicity,frequency
54,54,0,1,2,99,99,99,99
AfterSunset,After the Sunset,0,5,3,99,99,99,99
Alexander,Alexander,0,5,3,99,99,99,99
Americano ,Americano ,0,5,4,99,99,99,99
AMightyHeart,A Mighty Heart,0,4,3,99,99,99,99
AnniversaryParty,The Anniversary Party,0,5,3,99,99,99,99
AskDust ,Ask the Dust,0,4,3,99,99,99,99
AvengersInfinity,Avengers: Infinity War,0,5,4,99,99,99,99
Bandidas,Bandidas,0,5,3,99,99,99,99
Beatrix,Beatrix at Dinner,0,5,4,99,99,99,99
Beowulf,Beowulf,0,4,3,99,99,99,99
BeyondBorders,Beyond Borders,0,5,3,99,99,99,99
BoneCollector,The Bone Collector,0,3,2,99,99,99,99
Boom ,Here Comes the Boom,0,5,4,99,99,99,99
Bounce,Bounce,0,1,3,99,99,99,99
BreakingUp,Breaking Up,0,5,2,99,99,99,99
Butterflies,In The Time of the Butterflies,0,5,3,99,99,99,99
ByTheSea,By the Sea,0,3,4,99,99,99,99
Callejon,El Callejon de los Mialgros,0,5,2,99,99,99,99
Chain,Chain of Fools,0,5,3,99,99,99,99
Changeling,Changeling,0,5,3,99,99,99,99
CherryStreet,Cherry Street,0,5,2,99,99,99,99
ChispaVida,La chispa de la vida,0,5,4,99,99,99,99
CirqueFreak,Cirque du Freak,0,3,3,99,99,99,99
Contageon,Contageon,0,5,4,99,99,99,99
Coronel,El coronel no tiene quien le escriba,0,5,2,99,99,99,99
CountryStrong,Country Strong,0,5,4,99,99,99,99
Cyborg2,Cyborg2 Glass Shadow,0,5,2,99,99,99,99
DeadlyRelations,Deadly Relations,0,5,2,99,99,99,99
Desperado,Desperado,0,5,2,99,99,99,99
Dogma,Dogma,0,5,2,99,99,99,99
Duets,Duets,0,5,3,99,99,99,99
Dusk,From Dusk Till Dawn,0,5,2,99,99,99,99
Emma,Emma,0,1,2,99,99,99,99
Everly ,Everly ,0,5,4,99,99,99,99
FairGame,Fair Game,0,5,2,99,99,99,99
Ferite,Ferite a mortre,0,5,4,99,99,99,99
Fled,Fled,0,5,2,99,99,99,99
FleshBone,Flesh and Bone,0,5,2,99,99,99,99
FollowMeHome,Follow Me Home,0,5,2,99,99,99,99
Fools,Fools Rush In,0,5,2,99,99,99,99
FourRooms,Four Rooms,0,1,2,99,99,99,99
Foxfire,Foxfire,0,5,2,99,99,99,99
Frida,Frida,0,1,3,99,99,99,99
GeorgeWallace,George Wallace ,0,5,2,99,99,99,99
Gia,Gia,0,5,2,99,99,99,99
GirlInterrupted,Girl Interrupted ,0,5,2,99,99,99,99
Goldmember,Austin Powers in Goldmember,0,5,3,99,99,99,99
GoneSixtySec,Gone in Sixty Seconds,0,5,3,99,99,99,99
GoodNight,The Good Night,0,5,3,99,99,99,99
GranVida,La gran vida,0,5,3,99,99,99,99
GreatExpectations,Great Expectations,0,5,2,99,99,99,99
GrownUps,Grown Ups,0,5,4,99,99,99,99
GrownUps2 ,Grown Ups 2,0,5,4,99,99,99,99
PaltrowGwyneth,Gwyneth Paltrow,1,99,99,1,3,7,3
Hackers,Hackers,0,5,2,99,99,99,99
HayekSalma,Salma Hayek,1,99,99,1,2,7,2
HellsKitchen,Hell s Kitchen,0,5,2,99,99,99,99
High,High,0,5,1,99,99,99,99
Hitman ,The Hitman's Bodyguard,0,5,4,99,99,99,99
Hollywood,Welcome To Hollywood,0,5,2,99,99,99,99
Hook,Hook,0,5,2,99,99,99,99
Hour,11th Hour,0,5,4,99,99,99,99
Hummingbird,The Hummingbird Project,0,5,4,99,99,99,99
Hunchback,The Hunchback,0,5,2,99,99,99,99
Hush,Hush,0,5,2,99,99,99,99
Infamous,Infamous,0,5,3,99,99,99,99
IronMan1,Iron Man,0,4,3,99,99,99,99
IronMan2,Iron Man 2,0,4,3,99,99,99,99
Jefferson,Jefferson in Paris,0,5,2,99,99,99,99
JolieAngelina,Jolie Angelina,1,99,99,1,3,7,1
KindBeautiful ,Some Kind of Beautiful,0,5,4,99,99,99,99
KungFuPanda,Kung Fu Panda,0,5,3,99,99,99,99
KungFuPanda2,Kung Fu Panda 2,0,5,4,99,99,99,99
KungFuPanda3,Kung Fu Panda 3,0,5,4,99,99,99,99
LaraCroftTombRaider,Lara Croft Tomb Raider ,0,4,3,99,99,99,99
LaraCroftTombRaider2,Lara Croft Tomb Raider: The Cradle of Life,0,4,3,99,99,99,99
LatinLover,How to Be a Latin Lover,0,5,4,99,99,99,99
LifeOrSomething,Life or Something Like It,0,5,3,99,99,99,99
LonelyHearts,Lonely Hearts,0,5,3,99,99,99,99
LookinOut,Lookin to get out ,0,5,1,99,99,99,99
LoveDisasters,Love and Other Disasters,0,5,3,99,99,99,99
LoveIsAll,Love is all there is,0,5,2,99,99,99,99
Maleficent,Maleficent,0,5,4,99,99,99,99
Malice,Malice,0,5,2,99,99,99,99
MiVidaLoca,Mi Vida Loca,0,5,2,99,99,99,99
MojaveMoon,Mojave Moon,0,5,2,99,99,99,99
Moonlight,Moonlight and Valentino,0,5,2,99,99,99,99
Mortdecai,Mortdecai,0,5,4,99,99,99,99
MrMrsSmith,Mr. & Mrs. Smith,0,5,3,99,99,99,99
MrsParker,Mrs. Parker and the Vicious Circle,0,1,2,99,99,99,99
MuppetsWanted,Muppets Most Wanted,0,5,4,99,99,99,99
OnceMexico,Once Upon a Time in Mexico,0,5,3,99,99,99,99
OriginalSin,Original Sin,0,5,3,99,99,99,99
Pallbearer,The Pallbearer,0,1,2,99,99,99,99
PashmyDream,Pashmy Dreams,0,5,3,99,99,99,99
PerfectMurder,A Perfect Murder,0,5,2,99,99,99,99
PlayingByHeart,Playing By Heart,0,1,2,99,99,99,99
PlayingGod,Playing God ,0,5,2,99,99,99,99
Possession,Possession,0,5,3,99,99,99,99
Proof,Proof,0,1,3,99,99,99,99
PushingTin,Pushing Tin ,0,5,2,99,99,99,99
PussBoots,Puss in Boots,0,5,4,99,99,99,99
R,R,0,5,3,99,99,99,99
Ripley,The Talented Mr. Ripley,0,1,2,99,99,99,99
Roadracers,Roadracers,0,5,2,99,99,99,99
Running,Running with Scissors,0,5,3,99,99,99,99
Salt,Salt,0,5,4,99,99,99,99
Savages,Savages ,0,5,4,99,99,99,99
SeptembersShiraz,Septembers of Shiraz,0,5,4,99,99,99,99
Seven,Se7en,0,5,2,99,99,99,99
Shakespeare,Shakespeare in Love,0,1,2,99,99,99,99
ShallowHal,Shallow Hal,0,5,3,99,99,99,99
SharkTale,Shark Tale,0,5,3,99,99,99,99
Shout,Shout,0,3,2,99,99,99,99
SkyCaptain,Sky Captain and the World of Tomorrow,0,4,3,99,99,99,99
SlidingDoors,Sliding Doors,0,1,2,99,99,99,99
SpidermanHomecoming,Spider-Man: Homecoming,0,5,4,99,99,99,99
SpyKids,Spy Kids 3 Game Over,0,5,3,99,99,99,99
Sydney,Last Exit Reno/Sydney,0,5,2,99,99,99,99
Sylvia,Sylvia,0,5,3,99,99,99,99
TakingLives,Taking Lives,0,5,3,99,99,99,99
TaleTales ,Il racconto dei racconti - Tale of Tales,0,5,4,99,99,99,99
Tenenbaums,The Royal Tenenbaums,0,5,3,99,99,99,99
ThanksSharing,Thanks for Sharing,0,5,4,99,99,99,99
TheAvengers,The Avengers,0,4,4,99,99,99,99
TheFaculty,The Faculty,0,5,2,99,99,99,99
TheFever,The Fever,0,5,3,99,99,99,99
TheGoodShepherd,The Good Shepherd,0,3,3,99,99,99,99
TheTourist,The Tourist,0,5,4,99,99,99,99
Timecode,Timecode,0,5,3,99,99,99,99
Traffic,Traffic,0,5,3,99,99,99,99
TrueWomen,True Women,0,5,2,99,99,99,99
TwoLovers,Two Lovers,0,5,3,99,99,99,99
Universe,Across the Universe,0,5,3,99,99,99,99
Velocity,The Velocity of Gary,0,5,2,99,99,99,99
ViewTop,View from the Top/Flight Girls,0,1,3,99,99,99,99
Wanted,Wanted,0,3,3,99,99,99,99
Wild,Wild Wild West,0,5,2,99,99,99,99
WithoutEvidence,Without Evidence ,0,5,2,99,99,99,99